"nAbb","cliente","inizio","fine","prezzo"
"3","268","2022-03-15","2023-03-15","120"
"4","186","2023-11-22","2024-11-21","200"
"5","114","2022-11-06","2023-11-06","150"
"6","1","2022-07-28","2023-07-28","180"
"7","35","2024-04-26","2025-04-26","120"
"8","9","2023-11-20","2024-11-19","150"
"9","166","2021-06-22","2022-06-22","180"
"10","177","2020-09-14","2021-09-14","120"
"11","272","2024-02-07","2025-02-06","150"
"12","238","2023-05-31","2024-05-30","120"
"13","207","2024-09-29","2025-09-29","150"
"14","193","2023-07-05","2024-07-04","100"
"15","103","2023-04-20","2024-04-19","120"
"16","187","2020-12-22","2021-12-22","180"
"17","220","2024-12-21","2025-12-21","150"
"18","201","2021-12-13","2022-12-13","180"
"19","155","2024-10-28","2025-10-28","200"
"20","283","2023-04-16","2024-04-15","180"
"21","128","2021-12-19","2022-12-19","150"
"22","256","2024-12-16","2025-12-16","150"
"23","119","2023-12-01","2024-11-30","200"
"24","134","2024-09-12","2025-09-12","200"
"25","281","2021-10-03","2022-10-03","180"
"26","60","2024-09-02","2025-09-02","180"
"27","160","2023-02-09","2024-02-09","180"
"28","202","2021-07-09","2022-07-09","120"
"29","183","2023-04-10","2024-04-09","120"
"30","77","2021-10-23","2022-10-23","100"
"31","234","2024-03-26","2025-03-26","120"
"32","198","2020-09-28","2021-09-28","120"
"33","299","2021-01-04","2022-01-04","150"
"34","224","2022-10-30","2023-10-30","180"
"35","165","2021-02-13","2022-02-13","180"
"36","221","2022-02-09","2023-02-09","180"
"37","101","2022-03-12","2023-03-12","180"
"38","106","2024-08-20","2025-08-20","150"
"39","177","2021-08-11","2022-08-11","100"
"40","297","2024-02-22","2025-02-21","180"
"41","57","2020-11-24","2021-11-24","180"
"42","128","2022-01-18","2023-01-18","120"
"43","21","2022-07-21","2023-07-21","120"
"44","286","2021-08-15","2022-08-15","120"
"45","175","2020-06-12","2021-06-12","150"
"46","295","2022-05-17","2023-05-17","150"
"47","197","2020-07-15","2021-07-15","120"
"48","138","2020-07-22","2021-07-22","120"
"49","299","2021-03-05","2022-03-05","150"
"50","284","2024-03-15","2025-03-15","200"
"51","281","2022-07-04","2023-07-04","150"
"52","209","2024-11-30","2025-11-30","180"
"53","232","2022-01-25","2023-01-25","200"
"54","265","2020-08-06","2021-08-06","200"
"55","39","2021-10-09","2022-10-09","120"
"56","289","2022-01-30","2023-01-30","180"
"57","96","2020-02-02","2021-02-01","150"
"58","133","2024-03-10","2025-03-10","200"
"59","106","2020-09-11","2021-09-11","120"
"60","67","2020-11-29","2021-11-29","180"
"61","272","2022-06-23","2023-06-23","150"
"62","113","2024-08-21","2025-08-21","150"
"63","50","2020-10-12","2021-10-12","180"
"64","227","2024-12-25","2025-12-25","100"
"65","265","2022-08-03","2023-08-03","100"
"66","254","2022-12-26","2023-12-26","180"
"67","222","2022-03-02","2023-03-02","100"
"68","183","2021-11-18","2022-11-18","200"
"69","248","2022-11-26","2023-11-26","120"
"70","204","2023-11-15","2024-11-14","200"
"71","127","2020-08-29","2021-08-29","200"
"72","86","2021-09-05","2022-09-05","120"
"73","18","2021-05-31","2022-05-31","150"
"74","94","2022-01-15","2023-01-15","100"
"75","239","2020-12-16","2021-12-16","120"
"76","37","2023-09-02","2024-09-01","150"
"77","18","2020-06-23","2021-06-23","120"
"78","297","2021-05-19","2022-05-19","150"
"79","187","2020-06-20","2021-06-20","100"
"80","69","2023-03-13","2024-03-12","120"
"81","238","2024-08-03","2025-08-03","100"
"82","260","2023-05-13","2024-05-12","120"
"83","255","2023-01-17","2024-01-17","100"
"84","219","2020-02-20","2021-02-19","180"
"85","221","2021-07-21","2022-07-21","150"
"86","18","2022-05-09","2023-05-09","180"
"87","18","2022-02-11","2023-02-11","150"
"88","187","2023-07-05","2024-07-04","200"
"89","42","2021-03-14","2022-03-14","150"
"90","197","2020-06-25","2021-06-25","180"
"91","50","2023-10-20","2024-10-19","180"
"92","294","2022-07-28","2023-07-28","200"
"93","272","2021-06-16","2022-06-16","180"
"94","114","2024-07-28","2025-07-28","200"
"95","137","2023-07-03","2024-07-02","200"
"96","189","2023-10-15","2024-10-14","200"
"97","21","2023-06-10","2024-06-09","150"
"98","115","2020-11-03","2021-11-03","100"
"99","124","2023-11-18","2024-11-17","200"
"100","220","2021-11-18","2022-11-18","100"
"101","64","2022-10-09","2023-10-09","120"
"102","133","2023-03-22","2024-03-21","150"
"103","299","2022-10-13","2023-10-13","180"
"104","268","2024-04-03","2025-04-03","100"
"105","255","2022-12-10","2023-12-10","150"
"106","158","2021-12-09","2022-12-09","200"
"107","280","2020-11-15","2021-11-15","120"
"108","126","2023-07-20","2024-07-19","100"
"109","36","2020-02-17","2021-02-16","150"
"110","105","2020-01-01","2020-12-31","150"
"111","2","2024-08-10","2025-08-10","150"
"112","214","2023-01-22","2024-01-22","120"
"113","169","2021-06-18","2022-06-18","150"
"114","276","2023-02-18","2024-02-18","150"
"115","300","2021-04-14","2022-04-14","180"
"116","272","2022-01-10","2023-01-10","200"
"117","231","2021-04-12","2022-04-12","200"
"118","59","2020-04-28","2021-04-28","150"
"119","278","2022-10-08","2023-10-08","150"
"120","202","2022-11-21","2023-11-21","100"
"121","198","2021-02-21","2022-02-21","180"
"122","31","2022-01-13","2023-01-13","150"
"123","251","2021-10-04","2022-10-04","180"
"124","205","2022-09-08","2023-09-08","200"
"125","92","2023-03-02","2024-03-01","180"
"126","131","2022-10-10","2023-10-10","200"
"127","200","2024-05-15","2025-05-15","120"
"128","95","2023-07-15","2024-07-14","180"
"129","299","2024-07-28","2025-07-28","180"
"130","283","2022-04-06","2023-04-06","180"
"131","75","2022-08-04","2023-08-04","150"
"132","211","2021-03-04","2022-03-04","100"
"133","235","2023-01-31","2024-01-31","200"
"134","49","2021-11-28","2022-11-28","180"
"135","222","2020-04-19","2021-04-19","120"
"136","12","2020-10-05","2021-10-05","120"
"137","14","2022-11-28","2023-11-28","180"
"138","297","2022-04-09","2023-04-09","150"
"139","136","2022-08-15","2023-08-15","200"
"140","273","2021-04-20","2022-04-20","150"
"141","104","2023-08-21","2024-08-20","120"
"142","151","2024-04-16","2025-04-16","180"
"143","118","2020-07-22","2021-07-22","150"
"144","162","2024-11-22","2025-11-22","150"
"145","60","2022-10-25","2023-10-25","180"
"146","245","2024-05-22","2025-05-22","100"
"147","24","2023-07-04","2024-07-03","100"
"148","251","2024-05-13","2025-05-13","120"
"149","197","2021-04-26","2022-04-26","120"
"150","49","2023-06-25","2024-06-24","150"
"151","154","2023-06-19","2024-06-18","200"
"152","109","2021-11-18","2022-11-18","150"
"153","160","2024-01-07","2025-01-06","200"
"154","258","2024-06-12","2025-06-12","200"
"155","129","2020-03-08","2021-03-08","100"
"156","192","2022-07-31","2023-07-31","120"
"157","46","2022-05-08","2023-05-08","100"
"158","238","2024-01-04","2025-01-03","120"
"159","150","2023-01-01","2024-01-01","200"
"160","25","2022-12-25","2023-12-25","150"
"161","1","2020-11-29","2021-11-29","200"
"162","26","2020-08-11","2021-08-11","180"
"163","31","2020-04-28","2021-04-28","200"
"164","123","2024-10-13","2025-10-13","120"
"165","5","2022-12-18","2023-12-18","150"
"166","11","2020-06-16","2021-06-16","120"
"167","46","2023-05-27","2024-05-26","180"
"168","31","2020-08-21","2021-08-21","200"
"169","78","2022-12-27","2023-12-27","150"
"170","216","2023-01-09","2024-01-09","180"
"171","114","2021-03-01","2022-03-01","100"
"172","271","2021-09-28","2022-09-28","150"
"173","84","2020-03-22","2021-03-22","150"
"174","106","2020-11-17","2021-11-17","180"
"175","205","2023-09-26","2024-09-25","120"
"176","106","2021-01-17","2022-01-17","120"
"177","225","2024-01-09","2025-01-08","150"
"178","195","2021-12-25","2022-12-25","200"
"179","234","2022-11-07","2023-11-07","100"
"180","174","2023-04-21","2024-04-20","180"
"181","94","2022-12-21","2023-12-21","150"
"182","257","2024-12-09","2025-12-09","120"
"183","82","2020-10-19","2021-10-19","180"
"184","291","2024-03-05","2025-03-05","150"
"185","242","2023-06-27","2024-06-26","120"
"186","197","2024-11-26","2025-11-26","180"
"187","266","2024-01-26","2025-01-25","200"
"188","219","2020-08-23","2021-08-23","150"
"189","123","2020-12-30","2021-12-30","120"
"190","113","2023-01-22","2024-01-22","120"
"191","123","2022-04-25","2023-04-25","100"
"192","15","2022-05-24","2023-05-24","120"
"193","243","2020-01-13","2021-01-12","200"
"194","132","2022-12-21","2023-12-21","150"
"195","149","2024-10-09","2025-10-09","180"
"196","276","2024-12-12","2025-12-12","150"
"197","274","2020-06-07","2021-06-07","200"
"198","35","2022-04-25","2023-04-25","180"
"199","272","2020-04-11","2021-04-11","100"
"200","87","2024-06-09","2025-06-09","100"
"201","47","2021-05-18","2022-05-18","120"
"202","157","2023-07-26","2024-07-25","100"
"203","258","2023-09-14","2024-09-13","120"
"204","25","2022-10-26","2023-10-26","150"
"205","82","2022-12-24","2023-12-24","200"
"206","28","2021-06-13","2022-06-13","180"
"207","165","2023-04-22","2024-04-21","100"
"208","269","2022-03-11","2023-03-11","200"
"209","154","2021-01-14","2022-01-14","200"
"210","237","2023-08-13","2024-08-12","200"
"211","64","2024-12-18","2025-12-18","120"
"212","209","2023-12-26","2024-12-25","150"
"213","277","2020-01-15","2021-01-14","180"
"214","89","2023-03-23","2024-03-22","100"
"215","39","2021-01-05","2022-01-05","120"
"216","241","2020-05-25","2021-05-25","200"
"217","25","2023-12-13","2024-12-12","120"
"218","2","2023-07-24","2024-07-23","100"
"219","126","2020-12-15","2021-12-15","100"
"220","25","2024-02-04","2025-02-03","180"
"221","105","2022-08-13","2023-08-13","120"
"222","53","2020-10-15","2021-10-15","200"
"223","18","2021-02-05","2022-02-05","100"
"224","251","2023-02-14","2024-02-14","150"
"225","92","2022-04-28","2023-04-28","120"
"226","236","2022-04-03","2023-04-03","100"
"227","116","2024-04-19","2025-04-19","180"
"228","76","2024-09-29","2025-09-29","150"
"229","220","2020-11-03","2021-11-03","150"
"230","243","2024-12-13","2025-12-13","100"
"231","188","2022-03-30","2023-03-30","120"
"232","69","2021-05-15","2022-05-15","180"
"233","259","2020-02-10","2021-02-09","100"
"234","48","2021-06-10","2022-06-10","100"
"235","291","2021-11-18","2022-11-18","100"
"236","269","2020-02-02","2021-02-01","150"
"237","268","2024-10-14","2025-10-14","150"
"238","145","2023-09-09","2024-09-08","120"
"239","1","2024-01-30","2025-01-29","150"
"240","198","2024-05-02","2025-05-02","120"
"241","116","2024-06-09","2025-06-09","120"
"242","252","2024-03-13","2025-03-13","120"
"243","181","2022-09-05","2023-09-05","200"
"244","145","2020-10-18","2021-10-18","180"
"245","144","2020-12-12","2021-12-12","180"
"246","57","2022-05-08","2023-05-08","180"
"247","185","2023-11-27","2024-11-26","100"
"248","158","2022-06-25","2023-06-25","150"
"249","261","2020-09-11","2021-09-11","150"
"250","167","2021-01-11","2022-01-11","120"
"251","77","2023-01-26","2024-01-26","120"
"252","71","2022-04-08","2023-04-08","180"
"253","251","2022-02-15","2023-02-15","200"
"254","154","2023-10-30","2024-10-29","200"
"255","200","2022-10-07","2023-10-07","150"
"256","128","2022-05-06","2023-05-06","180"
"257","254","2023-06-05","2024-06-04","100"
"258","218","2020-02-08","2021-02-07","200"
"259","233","2020-03-28","2021-03-28","100"
"260","10","2020-11-16","2021-11-16","100"
"261","235","2023-09-03","2024-09-02","200"
"262","217","2020-09-29","2021-09-29","120"
"263","272","2022-09-13","2023-09-13","180"
"264","47","2021-04-11","2022-04-11","180"
"265","202","2023-04-12","2024-04-11","120"
"266","144","2022-07-28","2023-07-28","200"
"267","180","2023-01-10","2024-01-10","200"
"268","235","2022-05-31","2023-05-31","200"
"269","72","2022-12-29","2023-12-29","150"
"270","291","2022-09-25","2023-09-25","200"
"271","97","2024-09-07","2025-09-07","180"
"272","167","2020-03-27","2021-03-27","200"
"273","202","2022-02-13","2023-02-13","120"
"274","168","2024-11-22","2025-11-22","150"
"275","186","2023-02-14","2024-02-14","150"
"276","272","2020-12-03","2021-12-03","200"
"277","152","2020-04-02","2021-04-02","100"
"278","209","2023-06-29","2024-06-28","100"
"279","156","2021-09-17","2022-09-17","200"
"280","262","2023-01-31","2024-01-31","180"
"281","261","2020-04-13","2021-04-13","180"
"282","119","2022-02-26","2023-02-26","120"
"283","137","2024-12-07","2025-12-07","100"
"284","7","2023-03-23","2024-03-22","150"
"285","267","2021-04-23","2022-04-23","120"
"286","82","2021-11-15","2022-11-15","120"
"287","66","2020-06-12","2021-06-12","180"
"288","233","2021-08-11","2022-08-11","150"
"289","81","2021-09-18","2022-09-18","150"
"290","147","2023-09-28","2024-09-27","100"
"291","86","2023-07-28","2024-07-27","180"
"292","186","2021-08-20","2022-08-20","200"
"293","51","2022-06-17","2023-06-17","120"
"294","232","2022-05-25","2023-05-25","120"
"295","199","2024-08-10","2025-08-10","100"
"296","73","2020-11-12","2021-11-12","180"
"297","13","2020-06-28","2021-06-28","150"
"298","108","2024-11-10","2025-11-10","200"
"299","82","2022-11-02","2023-11-02","150"
"300","245","2024-08-10","2025-08-10","200"
"301","148","2024-07-16","2025-07-16","120"
"302","226","2023-11-15","2024-11-14","200"
"303","157","2020-09-29","2021-09-29","200"
"304","297","2022-02-09","2023-02-09","100"
"305","182","2023-04-24","2024-04-23","150"
"306","30","2020-03-27","2021-03-27","180"
"307","271","2021-03-28","2022-03-28","100"
"308","162","2020-06-29","2021-06-29","150"
"309","19","2023-09-28","2024-09-27","150"
"310","66","2022-03-30","2023-03-30","180"
"311","82","2024-12-24","2025-12-24","200"
"312","141","2023-03-12","2024-03-11","100"
"313","70","2021-01-06","2022-01-06","120"
"314","13","2020-07-03","2021-07-03","100"
"315","58","2024-06-20","2025-06-20","100"
"316","249","2020-11-05","2021-11-05","150"
"317","121","2020-10-26","2021-10-26","150"
"318","93","2021-07-24","2022-07-24","150"
"319","125","2020-05-08","2021-05-08","200"
"320","84","2022-01-25","2023-01-25","120"
"321","30","2024-04-18","2025-04-18","120"
"322","104","2020-04-12","2021-04-12","120"
"323","292","2023-07-03","2024-07-02","150"
"324","29","2021-09-07","2022-09-07","180"
"325","29","2022-12-01","2023-12-01","180"
"326","237","2024-07-14","2025-07-14","120"
"327","251","2023-12-04","2024-12-03","120"
"328","184","2021-01-08","2022-01-08","120"
"329","239","2023-05-01","2024-04-30","180"
"330","266","2023-08-05","2024-08-04","120"
"331","23","2022-12-25","2023-12-25","120"
"332","62","2024-02-17","2025-02-16","200"
"333","300","2021-09-18","2022-09-18","200"
"334","220","2021-03-04","2022-03-04","180"
"335","70","2020-09-21","2021-09-21","120"
"336","83","2020-02-06","2021-02-05","180"
"337","116","2023-04-29","2024-04-28","120"
"338","63","2021-05-03","2022-05-03","200"
"339","99","2021-09-16","2022-09-16","180"
"340","199","2024-07-13","2025-07-13","180"
"341","218","2022-07-20","2023-07-20","200"
"342","207","2024-02-22","2025-02-21","150"
"343","269","2023-01-29","2024-01-29","100"
"344","71","2022-12-18","2023-12-18","100"
"345","55","2020-08-02","2021-08-02","180"
"346","257","2024-01-13","2025-01-12","150"
"347","110","2023-06-03","2024-06-02","200"
"348","298","2020-01-03","2021-01-02","150"
"349","244","2024-10-05","2025-10-05","180"
"350","256","2023-10-23","2024-10-22","180"
"351","116","2024-10-02","2025-10-02","100"
"352","188","2022-05-06","2023-05-06","120"
"353","229","2022-06-20","2023-06-20","150"
"354","182","2020-04-22","2021-04-22","180"
"355","109","2024-02-16","2025-02-15","180"
"356","27","2024-09-19","2025-09-19","150"
"357","126","2021-03-22","2022-03-22","150"
"358","21","2021-12-11","2022-12-11","120"
"359","232","2021-01-23","2022-01-23","100"
"360","165","2024-06-23","2025-06-23","120"
"361","273","2024-03-18","2025-03-18","100"
"362","199","2022-08-18","2023-08-18","120"
"363","153","2020-07-06","2021-07-06","150"
"364","296","2024-09-02","2025-09-02","150"
"365","270","2021-10-31","2022-10-31","180"
"366","68","2020-02-22","2021-02-21","150"
"367","16","2020-03-20","2021-03-20","180"
"368","232","2020-08-27","2021-08-27","150"
"369","214","2022-08-16","2023-08-16","120"
"370","173","2021-02-28","2022-02-28","200"
"371","96","2022-12-08","2023-12-08","200"
"372","230","2021-03-16","2022-03-16","200"
"373","31","2022-03-20","2023-03-20","120"
"374","86","2022-06-18","2023-06-18","200"
"375","263","2020-09-01","2021-09-01","120"
"376","133","2020-12-14","2021-12-14","120"
"377","16","2022-10-05","2023-10-05","100"
"378","222","2020-12-13","2021-12-13","100"
"379","164","2021-06-20","2022-06-20","150"
"380","268","2024-06-26","2025-06-26","150"
"381","2","2023-01-16","2024-01-16","150"
"382","248","2021-09-30","2022-09-30","180"
"383","203","2024-08-13","2025-08-13","150"
"384","235","2022-11-05","2023-11-05","150"
"385","266","2020-05-16","2021-05-16","120"
"386","8","2023-05-01","2024-04-30","120"
"387","107","2020-07-16","2021-07-16","180"
"388","183","2022-09-13","2023-09-13","180"
"389","214","2021-11-21","2022-11-21","100"
"390","167","2021-05-08","2022-05-08","120"
"391","40","2021-01-31","2022-01-31","200"
"392","290","2021-05-14","2022-05-14","120"
"393","109","2023-08-03","2024-08-02","200"
"394","83","2023-11-03","2024-11-02","150"
"395","261","2023-06-10","2024-06-09","100"
"396","168","2020-09-05","2021-09-05","150"
"397","86","2023-01-28","2024-01-28","180"
"398","202","2023-05-05","2024-05-04","150"
"399","282","2022-06-27","2023-06-27","150"
"400","140","2022-06-01","2023-06-01","100"
"401","108","2024-08-13","2025-08-13","120"
"402","294","2020-11-06","2021-11-06","120"
"403","208","2020-05-20","2021-05-20","120"
"404","166","2024-05-15","2025-05-15","180"
"405","193","2020-09-19","2021-09-19","180"
"406","76","2020-06-20","2021-06-20","180"
"407","207","2020-03-12","2021-03-12","150"
"408","144","2024-07-25","2025-07-25","120"
"409","167","2022-04-04","2023-04-04","100"
"410","218","2022-08-02","2023-08-02","180"
"411","150","2021-02-26","2022-02-26","120"
"412","168","2023-01-07","2024-01-07","180"
"413","50","2021-08-21","2022-08-21","150"
"414","15","2024-02-17","2025-02-16","180"
"415","183","2020-09-28","2021-09-28","200"
"416","261","2021-04-25","2022-04-25","150"
"417","106","2024-05-09","2025-05-09","200"
"418","245","2022-11-02","2023-11-02","120"
"419","151","2021-02-12","2022-02-12","180"
"420","255","2022-01-27","2023-01-27","150"
"421","45","2022-01-07","2023-01-07","150"
"422","15","2023-11-15","2024-11-14","100"
"423","179","2023-04-27","2024-04-26","200"
"424","260","2024-12-23","2025-12-23","200"
"425","282","2024-12-10","2025-12-10","180"
"426","274","2024-10-11","2025-10-11","200"
"427","85","2024-01-25","2025-01-24","200"
"428","235","2020-12-30","2021-12-30","180"
"429","114","2022-10-15","2023-10-15","100"
"430","119","2020-12-15","2021-12-15","120"
"431","262","2021-06-01","2022-06-01","200"
"432","44","2024-03-18","2025-03-18","150"
"433","189","2021-10-24","2022-10-24","120"
"434","300","2021-06-09","2022-06-09","180"
"435","171","2021-09-29","2022-09-29","120"
"436","16","2024-06-01","2025-06-01","120"
"437","1","2021-11-10","2022-11-10","120"
"438","36","2021-01-18","2022-01-18","200"
"439","86","2024-08-29","2025-08-29","100"
"440","235","2020-03-04","2021-03-04","150"
"441","207","2021-11-16","2022-11-16","200"
"442","268","2023-11-12","2024-11-11","150"
"443","184","2023-09-14","2024-09-13","120"
"444","281","2021-12-01","2022-12-01","100"
"445","154","2023-06-23","2024-06-22","200"
"446","67","2021-08-21","2022-08-21","200"
"447","140","2022-10-06","2023-10-06","200"
"448","33","2023-11-25","2024-11-24","180"
"449","292","2021-03-18","2022-03-18","180"
"450","174","2024-05-11","2025-05-11","120"
"451","117","2023-03-06","2024-03-05","200"
"452","141","2022-10-19","2023-10-19","100"
"453","81","2024-06-21","2025-06-21","120"
"454","17","2023-12-19","2024-12-18","120"
"455","256","2021-05-31","2022-05-31","150"
"456","182","2020-03-03","2021-03-03","100"
"457","140","2021-08-10","2022-08-10","200"
"458","222","2022-07-16","2023-07-16","100"
"459","133","2022-11-13","2023-11-13","200"
"460","20","2021-09-20","2022-09-20","200"
"461","141","2020-01-03","2021-01-02","150"
"462","89","2024-11-11","2025-11-11","100"
"463","3","2024-04-25","2025-04-25","120"
"464","72","2021-12-27","2022-12-27","200"
"465","86","2021-12-29","2022-12-29","150"
"466","25","2024-01-03","2025-01-02","120"
"467","175","2024-01-19","2025-01-18","120"
"468","150","2023-03-31","2024-03-30","100"
"469","125","2024-01-27","2025-01-26","120"
"470","193","2020-08-20","2021-08-20","150"
"471","118","2020-12-14","2021-12-14","120"
"472","108","2022-11-12","2023-11-12","150"
"473","15","2021-06-20","2022-06-20","180"
"474","183","2023-09-30","2024-09-29","200"
"475","244","2024-04-29","2025-04-29","200"
"476","183","2020-05-29","2021-05-29","200"
"477","268","2024-01-18","2025-01-17","150"
"478","90","2024-01-09","2025-01-08","100"
"479","237","2022-12-21","2023-12-21","200"
"480","105","2022-10-17","2023-10-17","100"
"481","134","2020-01-22","2021-01-21","150"
"482","114","2021-11-26","2022-11-26","120"
"483","154","2024-05-06","2025-05-06","180"
"484","226","2021-01-11","2022-01-11","100"
"485","297","2022-02-10","2023-02-10","200"
"486","138","2022-06-21","2023-06-21","120"
"487","225","2021-01-06","2022-01-06","100"
"488","159","2022-09-03","2023-09-03","150"
"489","22","2020-04-26","2021-04-26","120"
"490","110","2023-07-26","2024-07-25","150"
"491","265","2021-11-21","2022-11-21","100"
"492","214","2023-09-29","2024-09-28","100"
"493","254","2023-01-22","2024-01-22","120"
"494","156","2024-01-23","2025-01-22","100"
"495","128","2021-02-18","2022-02-18","200"
"496","61","2023-06-25","2024-06-24","150"
"497","157","2024-01-04","2025-01-03","180"
"498","150","2024-08-10","2025-08-10","180"
"499","177","2021-01-10","2022-01-10","100"
"500","194","2021-04-19","2022-04-19","120"
"503","17","2024-01-19","2025-01-18","130"
